Identifier,Year,Company Name,MATCH,Country of Headquarters,IPO Date,TRBC Economic Sector Name,Balance Sheet Period End Date,Balance Sheet Accounting Standard,Total Assets,Total Equity,Price Close,Common Shares - Outstanding,Net Income Before Extraordinary Items,Net Cash Flow from Operating Activities,Common Equity,Book Value Per Share,YTD Total Return,NI,NI CHANGE,LOSS,NI PER LAGGED PRICE,NI CHANGE PER LAGGED PRICE,NI PER LAGED TA,CASH FLOW PER LAGGED TOTAL ASSETS
TABK.PR,2018,Philip Morris CR as,CBQP.PA,Czech Republic,13/07/1993,Consumer Non-Cyclicals,2018,IFRS,"711,844,746.82","437,028,775.37",626.50,"2,745,386.00","171,090,787.42","87,753,736.34","437,028,775.37",159.21,-9.6%,62.31939239873737,2.6956467942941416,0,0.08009381091756293,0.003464485392625619,9.821643078166594e-08,0.1200246835408226
TABK.PR,2017,Philip Morris CR as,CBQP.PA,Czech Republic,13/07/1993,Consumer Non-Cyclicals,2017,IFRS,"731,130,745.37","419,212,331.99",778.08,"2,745,386.00","163,690,196.45","120,359,056.30","419,212,331.99",152.72,36.1%,59.62374560444323,20.34159502525327,0,0.11676963945955471,0.03983783127093725,6.487269466925598e-08,0.19826390982646772
TABK.PR,2016,Philip Morris CR as,CBQP.PA,Czech Republic,13/07/1993,Consumer Non-Cyclicals,2016,IFRS,"607,064,878.35","319,440,112.29",510.61,"2,745,386.00","107,844,666.25","168,902,058.64","319,440,112.29",116.37,17.0%,39.28215057918996,1.6428022179759054,0,0.08089571568440446,0.003383105537543824,6.902663468108752e-08,0.27893410919732375
TABK.PR,2015,Philip Morris CR as,CBQP.PA,Czech Republic,13/07/1993,Consumer Non-Cyclicals,2015,IFRS,"605,526,728.61","319,979,083.71",485.59,"2,745,386.00","103,334,540.04","257,873,778.21","319,979,083.71",116.57,20.2%,37.639348361214054,1.680436499639761,0,0.07927912117702057,0.0035394749028787855,3.251819660613577e-08,0.4729135826558532
TABK.PR,2014,Philip Morris CR as,CBQP.PA,Czech Republic,13/07/1993,Consumer Non-Cyclicals,2014,IFRS,"545,287,316.05","342,063,770.15",474.77,"2,745,386.00","98,721,093.20","100,341,625.79","342,063,770.15",124.61,10.9%,35.95891186157429,4.855290571161937,0,0.06741706074763638,0.009102873319513176,4.348247099795694e-08,0.0907404742329061
TABK.PR,2013,Philip Morris CR as,CBQP.PA,Czech Republic,13/07/1993,Consumer Non-Cyclicals,2013,IFRS,"1,105,808,919.76","401,137,622.07",533.38,"2,745,386.00","112,050,739.96","157,454,948.15","401,137,622.07",146.13,7.1%,40.81420243273623,5.999803969277913,0,0.0723514960428573,0.010635875927173624,5.298766559538508e-08,0.16774872001236826
TABK.PR,2012,Philip Morris CR as,CBQP.PA,Czech Republic,13/07/1993,Consumer Non-Cyclicals,2012,IFRS,"938,635,765.08","431,656,570.98",564.11,"2,745,386.00","128,522,517.78","125,994,205.95","431,656,570.98",157.25,-7.8%,46.814006402014144,0.09877791492574772,0,0.07342912821472244,0.00015493602742690297,5.563610047805546e-08,0.14260985899184736
TABK.PR,2011,Philip Morris CR as,CBQP.PA,Czech Republic,13/07/1993,Consumer Non-Cyclicals,2011,IFRS,"883,488,749.24","419,166,835.60",637.54,"2,745,000.00","128,775,592.95","131,765,659.84","419,166,835.60",152.68,39.8%,46.91278431693989,0.2923828852458996,0,0.08660608535840329,0.0005397705014877781,6.25086179124103e-08,0.1562671582417326
TABK.PR,2010,Philip Morris CR as,CBQP.PA,Czech Republic,13/07/1993,Consumer Non-Cyclicals,2010,IFRS,"843,207,628.03","491,536,318.83",541.68,"2,745,000.00","127,973,001.93","208,860,081.42","491,536,318.83",179.04,26.3%,46.62040143169399,3.050613795308699,0,0.09758734312623028,0.006385644182506226,7.350664176642067e-08,0.2800395240218184
TABK.PR,2009,Philip Morris CR as,CBQP.PA,Czech Republic,13/07/1993,Consumer Non-Cyclicals,2009,IFRS,"745,823,583.83","485,443,761.22",477.73,"2,745,386.00","136,366,109.81","466,343,799.31","485,443,761.22",176.82,57.6%,49.67101522700269,17.427278805239048,0,0.1522343239763476,0.05341203507796693,2.7838435741664637e-08,0.6901281650719397
TABK.PR,2008,Philip Morris CR as,CBQP.PA,Czech Republic,13/07/1993,Consumer Non-Cyclicals,2008,IFRS,"675,735,063.30","415,977,817.31",326.28,"2,745,386.00","88,521,502.56","214,607,094.28","415,977,817.31",151.54,-9.7%,32.24373642176364,7.217948448910306,0,0.07455543937699695,0.016689669924413397,6.03003507528346e-08,0.18528639874957661
TABK.PR,2007,Philip Morris CR as,CBQP.PA,Czech Republic,13/07/1993,Consumer Non-Cyclicals,2007,IFRS,"1,158,245,266.40","476,717,305.15",432.48,"2,745,000.00","108,322,324.97","-201,618,229.85","476,717,305.15",173.67,-23.5%,39.46168487067395,6.1161165470478025,0,0.07582806800536875,0.011752496199242526,5.151439917242054e-08,-0.3080874528790233
TABK.PR,2006,Philip Morris CR as,CBQP.PA,Czech Republic,13/07/1993,Consumer Non-Cyclicals,2006,IFRS,"654,418,828.05","400,624,399.62",520.41,"2,745,390.00","91,546,589.82","19,452,449.57","400,624,399.62",145.95,-36.1%,33.345568323626146,7.259937258458727,0,0.04482714496299911,0.009759685507492878,5.7232749016940205e-08,0.03005140720064925
TABK.PR,2005,Philip Morris CR as,CBQP.PA,Czech Republic,13/07/1993,Consumer Non-Cyclicals,2005,IFRS,"647,305,779.73","385,668,867.69",743.87,"2,745,390.00","111,477,948.97","397,203,880.33","385,668,867.69",140.48,18.2%,40.605505582084874,19.763778756387985,0,0.0535685618686889,0.026073242775673126,7.917884266614565e-08,0.5598519133206277
TABK.PR,2004,Philip Morris CR as,CBQP.PA,Czech Republic,13/07/1993,Consumer Non-Cyclicals,2004,IFRS,"709,480,258.76","496,765,558.78",758.01,"2,745,390.00","165,737,229.53","210,617,889.81","496,765,558.78",180.95,16.7%,60.36928433847286,1.714493530286454,0,0.0994813860959608,0.002825281013589173,1.1352073815159493e-07,0.2762411538033391
TABK.PR,2003,Philip Morris CR as,CBQP.PA,Czech Republic,13/07/1993,Consumer Non-Cyclicals,2003,Czech,"762,442,115.92","458,162,044.25",606.84,"2,745,368.00","170,442,817.08","162,695,426.92","458,162,044.25",166.89,60.1%,62.08377786875931,12.057672599811767,0,0.167314660348082,0.03249520993858612,1.1327343434339704e-07,0.2974900302763479
TABK.PR,2002,Philip Morris CR as,CBQP.PA,Czech Republic,13/07/1993,Consumer Non-Cyclicals,2002,Czech,"546,893,711.93","377,450,650.78",371.06,"2,745,368.00","137,340,068.57","116,263,739.56","377,450,650.78",137.49,51.5%,50.026105268947546,12.031282687785385,0,0.21138386406214632,0.05083783777480514,9.772888820834657e-08,0.26325441484532613
TABK.PR,2001,Philip Morris CR as,CBQP.PA,Czech Republic,13/07/1993,Consumer Non-Cyclicals,2001,Czech,"441,640,227.11","298,527,235.93",236.66,"2,745,368.00","104,309,770.08","90,348,473.78","298,527,235.93",108.74,71.6%,37.99482258116216,6.194921540573066,0,0.2463197574143414,0.04016156590322895,9.407926553837021e-08,0.2323910284086468
BIFR.BU,2021,Budapesti Ingatlan Hasznositasi es Fejlesztesi Nyrt,BEVA.AS,Hungary,16/02/1998,Real Estate,2021,IFRS,"230,535,204.02","155,681,478.06",0.75,"251,684,440.00","25,484,418.15","10,353,775.27","155,681,478.06",0.62,-11.0%,0.10125543776166694,0.034895278230151996,0,0.11006025843659449,0.03792965025016521,3.264986709913877e-10,0.04676791697284092
BIFR.BU,2020,Budapesti Ingatlan Hasznositasi es Fejlesztesi Nyrt,BEVA.AS,Hungary,16/02/1998,Real Estate,2020,IFRS,"221,386,282.31","142,353,816.09",0.92,"251,684,440.00","16,701,819.59","13,407,426.63","142,353,816.09",0.57,-8.2%,0.06636015953151495,0.03633896175090978,0,0.06380784570337976,0.034941309375874786,1.5723731937362735e-10,0.06596588988051827
BIFR.BU,2019,Budapesti Ingatlan Hasznositasi es Fejlesztesi Nyrt,BEVA.AS,Hungary,16/02/1998,Real Estate,2019,IFRS,"203,247,870.29","139,468,632.04",1.04,"256,884,440.00","7,711,978.58","8,620,429.67","139,468,632.04",0.54,48.2%,0.030021197780605163,0.08521361570206433,0,0.03950157602711206,0.1121231785553478,8.226653694194969e-10,0.04514987253557742
BIFR.BU,2018,Budapesti Ingatlan Hasznositasi es Fejlesztesi Nyrt,BEVA.AS,Hungary,16/02/1998,Real Estate,2018,IFRS,"190,929,213.88","148,184,141.85",0.76,"256,884,440.00","29,602,030.53","6,111,579.02","148,184,141.85",0.67,42.9%,0.1152348134826695,0.12293533855708595,0,0.1889095302994582,0.20153334189686223,3.610383937805114e-09,0.043630776674801405
BIFR.BU,2017,Budapesti Ingatlan Hasznositasi es Fejlesztesi Nyrt,BEVA.AS,Hungary,16/02/1998,Real Estate,2017,IFRS,"140,074,953.64","99,579,269.05",0.61,"209,682,000.00","49,939,993.82","7,846,422.50","99,579,269.05",0.41,231.9%,0.23817015203975545,0.21969844938704794,0,1.4885634502484715,1.3731153086690495,2.882261743013786e-10,0.11894268664909795
BIFR.BU,2016,Budapesti Ingatlan Hasznositasi es Fejlesztesi Nyrt,BEVA.AS,Hungary,16/02/1998,Real Estate,2016,IFRS,"65,968,095.40","52,811,315.16",0.16,"257,322,000.00","4,753,175.47","6,458,548.55","52,811,315.16",0.20,24.5%,0.018471702652707502,0.017681032636216457,0,0.12314468435138336,0.11787355090810972,8.93863890283712e-12,0.10077699793599493
BIFR.BU,2015,Budapesti Ingatlan Hasznositasi es Fejlesztesi Nyrt,BEVA.AS,Hungary,16/02/1998,Real Estate,2015,IFRS,"64,087,526.74","48,800,590.02",0.15,"258,322,000.00","204,247.46","1,282,333.86","48,800,590.02",0.19,33.4%,0.000790670016491046,0.005686739185977191,0,0.006082077049931123,0.04374414758443993,-4.322583418878637e-11,0.014496969770385993
BIFR.BU,2014,Budapesti Ingatlan Hasznositasi es Fejlesztesi Nyrt,BEVA.AS,Hungary,16/02/1998,Real Estate,2014,IFRS,"88,455,303.44","53,892,217.04",0.13,"258,322,000.00","-1,264,762.38","2,524,676.67","53,892,217.04",0.21,2.8%,-0.004896069169486145,0.01405245581096461,1,-0.032640461129907636,0.09368303873976407,8.208803129606388e-11,0.022289565637237704
BIFR.BU,2013,Budapesti Ingatlan Hasznositasi es Fejlesztesi Nyrt,BEVA.AS,Hungary,16/02/1998,Real Estate,2013,IFRS,"113,267,199.15","66,368,620.64",0.15,"258,322,000.00","2,365,296.11","1,818,021.02","66,368,620.64",0.26,10.0%,0.009156386641478465,0.012742581351956085,0,0.0704337433959882,0.09801985655350834,-3.2707624253508486e-11,0.016298761971301468
BIFR.BU,2012,Budapesti Ingatlan Hasznositasi es Fejlesztesi Nyrt,BEVA.AS,Hungary,16/02/1998,Real Estate,2012,IFRS,"111,543,503.93","64,862,740.11",0.13,"258,322,000.00","-926,392.99","-5,595,027.47","64,862,740.11",0.25,-41.9%,-0.0035861947104776208,0.0131654339158105,1,-0.01707711766894105,0.06269254245624048,-1.2335439674876014e-10,-0.05102903521723328
BIFR.BU,2011,Budapesti Ingatlan Hasznositasi es Fejlesztesi Nyrt,BEVA.AS,Hungary,16/02/1998,Real Estate,2011,IFRS,"109,643,998.68","60,847,525.49",0.21,"258,322,000.00","-4,327,314.21","-20,603,448.70","60,847,525.49",0.24,-22.9%,-0.01675162862628812,0.0011684921919155149,1,-0.054037511697703614,0.0037693296513403706,-8.68263829219851e-11,-0.15171814287621813
BIFR.BU,2010,Budapesti Ingatlan Hasznositasi es Fejlesztesi Nyrt,BEVA.AS,Hungary,16/02/1998,Real Estate,2010,IFRS,"135,800,823.22","74,489,144.04",0.31,"258,322,000.00","-4,025,466.97","-9,922,641.06","74,489,144.04",0.29,-11.6%,-0.015583136434372605,0.020067650374339004,1,-0.03995676008813488,0.05145551378035642,2.8905917553305912e-11,-0.05528713913924345
BIFR.BU,2009,Budapesti Ingatlan Hasznositasi es Fejlesztesi Nyrt,BEVA.AS,Hungary,16/02/1998,Real Estate,2009,IFRS,"179,474,670.14","86,653,011.28",0.39,"258,322,000.00","1,158,448.61","-5,932,267.50","86,653,011.28",0.34,-2.0%,0.004484513939966399,0.010199735640015174,0,0.011211284849915997,0.025499339100037936,-3.5932341067795684e-11,-0.0382377304552299
BIFR.BU,2008,Budapesti Ingatlan Hasznositasi es Fejlesztesi Nyrt,BEVA.AS,Hungary,16/02/1998,Real Estate,2008,IFRS,"155,141,725.97","89,659,792.88",0.40,"258,322,000.00","-1,476,367.50","-7,359,304.30","89,659,792.88",0.35,-34.4%,-0.005715221700048776,0.07342930884709781,1,-0.008530181641863845,0.10959598335387732,5.555026871529627e-10,-0.04626890189177413
BIFR.BU,2007,Budapesti Ingatlan Hasznositasi es Fejlesztesi Nyrt,BEVA.AS,Hungary,16/02/1998,Real Estate,2007,IFRS,"159,055,088.82","100,171,324.42",0.67,"258,322,000.00","17,492,038.42","28,211,253.83","100,171,324.42",0.39,24.3%,0.06771408714704903,0.017608094161550313,0,0.1410710148896855,0.03668352950322982,6.50063203696646e-10,0.23143525920222446
BIFR.BU,2006,Budapesti Ingatlan Hasznositasi es Fejlesztesi Nyrt,BEVA.AS,Hungary,16/02/1998,Real Estate,2006,IFRS,"121,896,956.96","74,142,497.50",0.48,"258,322,000.00","12,943,480.32","16,228,049.61","74,142,497.50",0.29,80.8%,0.05010599298549872,0.03993635741438979,0,0.20877497077291135,0.16640148922662415,1.223791257134927e-10,0.21053884556838917
BIFR.BU,2005,Budapesti Ingatlan Hasznositasi es Fejlesztesi Nyrt,BEVA.AS,Hungary,16/02/1998,Real Estate,2005,IFRS,"77,078,648.20","56,520,126.73",0.24,"258,322,000.00","2,627,040.60","9,684,200.89","56,520,126.73",0.22,97.5%,0.010169635571108927,0.0003398818915926645,0,0.06779757047405952,0.00226587927728443,3.4133700606419043e-10,0.11653751305690066
BIFR.BU,2004,Budapesti Ingatlan Hasznositasi es Fejlesztesi Nyrt,BEVA.AS,Hungary,16/02/1998,Real Estate,2004,IFRS,"83,099,429.84","63,685,380.57",0.15,"258,322,000.00","2,539,241.63","6,965,352.89","63,685,380.57",0.25,7.7%,0.009829753679516263,0.004860856198681859,0,0.07561348984243278,0.037391201528321996,1.8237570305309088e-10,0.24187103554869122
BIFR.BU,2003,Budapesti Ingatlan Hasznositasi es Fejlesztesi Nyrt,BEVA.AS,Hungary,16/02/1998,Real Estate,2003,Hungarian,"28,797,796.62","24,737,754.47",0.13,"254,088,100.00","1,262,537.72","7,941,260.72","24,737,754.47",0.10,10.7%,0.0049688974808344034,0.004195812493538665,0,0.04517179528031276,0.03814374994126059,3.9636893041951823e-10,0.29147170222853735
BIFR.BU,2002,Budapesti Ingatlan Hasznositasi es Fejlesztesi Nyrt,BEVA.AS,Hungary,16/02/1998,Real Estate,2002,Hungarian,"27,245,391.78","22,963,201.03",0.11,"258,322,000.00","2,367,446.21","5,042,278.05","22,963,201.03",0.09,-2.7%,0.009164709974373068,0.005917451514001906,0,0.09164709974373068,0.059174515140019056,7.249611024643838e-10,0.2180758979984015
BIFR.BU,2001,Budapesti Ingatlan Hasznositasi es Fejlesztesi Nyrt,BEVA.AS,Hungary,16/02/1998,Real Estate,2001,Hungarian,"23,121,665.88","18,383,534.52",0.10,"258,322,000.00","3,896,054.12","971,164.44","18,383,534.52",0.07,-26.3%,0.015082161488374974,0.007454959314344113,0,0.10772972491696409,0.05324970938817223,3.288949026888332e-10,0.04668140197539181
BIFR.BU,2000,Budapesti Ingatlan Hasznositasi es Fejlesztesi Nyrt,BEVA.AS,Hungary,16/02/1998,Real Estate,2000,Hungarian,"20,804,097.54","16,843,990.74",0.14,"258,322,000.00","1,970,274.12","3,690,380.92","16,843,990.74",0.07,532.3%,0.007627202174030861,0.010258696091666755,0,0.3813601087015431,0.5129348045833377,4.0160495432213587e-10,0.15913403707858967
BIFR.BU,1999,Budapesti Ingatlan Hasznositasi es Fejlesztesi Nyrt,BEVA.AS,Hungary,16/02/1998,Real Estate,1999,Hungarian,"23,190,393.38","19,109,590.78",0.02,"256,472,000.00","4,587,232.10","8,259,465.99","19,109,590.78",0.07,46.2%,0.017885898265697617,0.016571374185096226,0,0.8942949132848809,0.8285687092548113,NA,0.18545573794304526
BIFR.BU,1998,Budapesti Ingatlan Hasznositasi es Fejlesztesi Nyrt,BEVA.AS,Hungary,16/02/1998,Real Estate,1998,Hungarian,"44,536,049.85","16,984,242.96",0.02,"256,472,000.00","337,138.62","-21,722,285.03","16,984,242.96",0.07,-36.8%,0.001314524080601391,NA,NA,NA,NA,NA,NA
IMPP.WA,2022,Imperio Alternatywna Spolka Inwestycyjna SA,NEDSE.AS,Poland,12/06/1997,Financials,2022,IFRS,"3,793,489.43","3,600,456.88",0.32,"7,831,487.00","-384,009.14","-158,537.98","3,600,456.88",0.46,-35.9%,-0.04903400082257686,0.11500884570197205,1,-0.09080370522699419,0.2129793438925408,1.5660097081910273e-08,-0.03503705005301295
IMPP.WA,2021,Imperio Alternatywna Spolka Inwestycyjna SA,NEDSE.AS,Poland,12/06/1997,Financials,2021,IFRS,"4,524,866.67","4,326,429.37",0.54,"7,831,487.00","516,681.14","-265,409.90","4,326,429.37",0.55,12.8%,0.06597484487939519,0.05144869294937219,0,0.1268747016911446,0.09893979413340805,3.5819590573793324e-09,-0.0629989325188725
IMPP.WA,2020,Imperio Alternatywna Spolka Inwestycyjna SA,NEDSE.AS,Poland,12/06/1997,Financials,2020,IFRS,"4,212,926.94","4,120,629.98",0.52,"7,831,487.00","113,761.37","-97,394.76","4,120,629.98",0.53,112.0%,0.014526151930022995,0.055529795299411204,0,0.060525633041762485,0.23137414708088003,1.7546596059472825e-08,-0.02401627384897757
IMPP.WA,2019,Imperio Alternatywna Spolka Inwestycyjna SA,NEDSE.AS,Poland,12/06/1997,Financials,2019,IFRS,"4,055,365.15","3,935,143.69",0.24,"7,831,487.00","548,642.24","-1,135,776.43","3,935,143.69",0.50,-2.1%,0.0700559472294342,0.34358643256382854,0,0.2802237889177368,1.3743457302553141,-3.8417215406459233e-08,-0.2844727823865164
IMPP.WA,2018,Imperio Alternatywna Spolka Inwestycyjna SA,NEDSE.AS,Poland,12/06/1997,Financials,2018,IFRS,"3,992,566.25","3,434,500.09",0.25,"7,831,487.00","-2,142,150.44","-134,502.77","3,434,500.09",0.44,-35.2%,-0.27353048533439434,0.12304095615496735,1,-0.6512630603199865,0.29295465751182703,-4.1449921392847596e-08,-0.018890844585525635
IMPP.WA,2017,Imperio Alternatywna Spolka Inwestycyjna SA,NEDSE.AS,Poland,12/06/1997,Financials,2017,IFRS,"7,119,997.70","6,532,505.96",0.42,"9,400,000.00","-3,727,771.55","-353,069.61","6,532,505.96",0.69,12.4%,-0.3965714414893617,0.656240020212766,1,-1.2792627144818118,2.1169032910089225,3.5840201778860007e-08,-0.03690307987317827
IMPP.WA,2016,Imperio Alternatywna Spolka Inwestycyjna SA,NEDSE.AS,Poland,12/06/1997,Financials,2016,IFRS,"9,567,483.56","8,539,151.23",0.31,"9,400,000.00","2,440,884.64","-2,390.91","8,539,151.23",0.91,-4.4%,0.25966857872340426,0.2362406244680851,0,0.7419102249240123,0.6749732127659575,3.2627248596979474e-09,-0.0003300002536170186
IMPP.WA,2015,Imperio Alternatywna Spolka Inwestycyjna SA,NEDSE.AS,Poland,12/06/1997,Financials,2015,IFRS,"7,245,176.25","6,501,159.74",0.35,"9,400,000.00","220,222.77","504,422.30","6,501,159.74",0.69,-11.2%,0.02342795425531915,0.6106660861702129,0,0.05448361454725383,1.420153688767937,-3.591350079924848e-08,0.07024903498018188
IMPP.WA,2014,Imperio Alternatywna Spolka Inwestycyjna SA,NEDSE.AS,Poland,12/06/1997,Financials,2014,IFRS,"7,180,487.25","6,964,558.25",0.43,"9,400,000.00","-5,520,038.44","-66,135.32","6,964,558.25",0.74,-31.5%,-0.5872381319148937,0.21821813911763016,1,-0.7935650431282347,0.29488937718598673,-1.2383900196680635e-08,-0.004044612804576486
IMPP.WA,2013,Imperio Alternatywna Spolka Inwestycyjna SA,NEDSE.AS,Poland,12/06/1997,Financials,2013,IFRS,"16,351,458.89","14,774,535.81",0.74,"9,400,121.83","-3,468,832.89","-5,881,631.30","14,774,535.81",1.57,-47.9%,-0.36901999279726355,1.707619609079216,1,-0.2674057918820751,1.2374055138255189,-4.963888433483589e-08,-0.19738099949746976
IMPP.WA,2012,Imperio Alternatywna Spolka Inwestycyjna SA,NEDSE.AS,Poland,12/06/1997,Financials,2012,IFRS,"29,798,366.18","19,520,228.22",1.38,"8,566,788.50","-17,790,132.26","-1,745,007.78","19,520,228.22",2.28,6.0%,-2.0766396018764794,1.1937086564002373,1,-1.7749056426294698,1.0202638088890918,-1.3405855195800733e-08,-0.041711734321418864
IMPP.WA,2011,Imperio Alternatywna Spolka Inwestycyjna SA,NEDSE.AS,Poland,12/06/1997,Financials,2011,IFRS,"41,834,937.06","30,105,235.62",1.17,"8,566,788.50","-7,563,882.67","-36,338.27","30,105,235.62",3.51,-54.1%,-0.8829309454762423,0.3195643466626964,1,-0.2982874815798116,0.10796092792658663,-1.3496881022555684e-08,-0.0005517369033012535
IMPP.WA,2010,Imperio Alternatywna Spolka Inwestycyjna SA,NEDSE.AS,Poland,12/06/1997,Financials,2010,IFRS,"65,861,590.52","48,003,384.09",2.96,"8,566,788.50","-10,301,522.84","-7,607,445.01","48,003,384.09",5.60,-21.1%,-1.2024952921389387,0.7978510962089638,1,-0.3099214670461182,0.20563172582705253,-4.180001549381658e-09,-0.08538643008154201
IMPP.WA,2009,Imperio Alternatywna Spolka Inwestycyjna SA,NEDSE.AS,Poland,12/06/1997,Financials,2009,IFRS,"89,094,309.28","57,284,675.62",3.88,"8,564,225.67","-3,465,464.21","6,092,351.79","57,284,675.62",6.69,-33.7%,-0.40464419592997486,1.0783644973552147,1,-0.07161844175751766,0.19086097298322383,6.2451622318355185e-09,0.06293440058629954
IMPP.WA,2008,Imperio Alternatywna Spolka Inwestycyjna SA,NEDSE.AS,Poland,12/06/1997,Financials,2008,IFRS,"96,804,795.68","58,990,881.46",5.65,"7,775,883.67","5,238,770.69","-6,154,002.03","58,990,881.46",8.33,-65.6%,0.6737203014252399,0.5363623011120614,0,0.033906406714908896,0.026993573281935652,2.2370691751704196e-08,-0.057045543931348856
IMPP.WA,2007,Imperio Alternatywna Spolka Inwestycyjna SA,NEDSE.AS,Poland,12/06/1997,Financials,2007,IFRS,"107,878,751.01","78,242,092.46",19.87,"7,082,288.50","8,570,154.10","-37,909,975.67","78,242,092.46",11.05,32.4%,1.2100826025373013,0.9791156408103154,0,0.09558314396029235,0.077339308120878,5.8277807900706726e-09,-0.7008384206581746
IMPP.WA,2006,Imperio Alternatywna Spolka Inwestycyjna SA,NEDSE.AS,Poland,12/06/1997,Financials,2006,IFRS,"54,092,319.36","27,201,806.40",12.66,"5,791,140.17","1,337,562.05","1,257,584.11","27,201,806.40",4.70,326.4%,0.2309669617269858,1.3199662581718201,0,0.08715734404791918,0.4981004747818189,-1.4576229360079979e-08,0.031731484292629134
IMPP.WA,2005,Imperio Alternatywna Spolka Inwestycyjna SA,NEDSE.AS,Poland,12/06/1997,Financials,2005,IFRS,"39,632,060.65","23,180,179.35",2.65,"5,763,585.00","-6,276,540.01","17,879,264.12","23,180,179.35",4.02,6.7%,-1.0889992964448343,1.94870421741324,1,-0.4063430210615053,0.7271284393332985,1.8939441157018435e-08,0.23931351971793532
